,biz,grade,inspections_in_2012,inspections_in_2013,phone_num,violations_in_2012,violations_in_2013,violations_per_inspection
9409,BAGEL CAFE,C,1,6,7183209011,3,15,2
9410,SUBWAY (Shopping Plaza),A,1,1,7183232886,1,2,2
9411,PINKBERRY,A,1,1,2122280373,1,3,3
9412,CHEVYS FRESH MEX,C,3,5,2123024010,17,23,4
9413,MCDONALD'S,A,1,1,7186170869,3,2,2
9414,CAFE CHILI,C,1,3,7182600066,2,10,3
9415,DUNKIN DONUTS,A,0,4,6463685923,0,6,1
9416,TROPICAL FANTASY BAR AND LOUNGE,C,5,3,7186588200,18,7,2
9417,GUGONGTAN,C,4,4,7188861328,23,19,4
9418,CHAMP'S DELI,A,1,3,2123632100,2,8,2
9419,PARADISE BIRYANI POINTE AND GRAMERCY PIZZA PASTA,P,0,7,2126862299,0,30,4
9420,KING'S KITCHEN,A,0,0,7188531388,0,0,0
9421,ASHIYA III SUSHI,P,2,5,2129628080,5,18,3
9422,VISTA HERMOSA DELI RESTAURANT,B,4,4,7188609674,11,14,3
9423,SOLIDE ROCHER RESTAURANT & BAKERY,B,1,2,3474250661,4,5,2
9424,THE KETTLE BLACK,B,1,3,7186807862,3,5,1
9425,COFFEE FRIENDS,B,6,1,7183490033,19,1,1
9426,CROWN FRIED CHICKEN,P,0,7,7183457286,0,21,3
9427,RIZE COFFEE,A,2,1,9172702585,4,3,3
9428,BEAN POST PUB,C,7,2,7187459413,18,5,2
9429,LJ PIZZA,P,1,5,2122622260,3,16,3
9430,SISTINA RESTAURANT,B,1,4,2128617660,2,16,4
9431,MEJORANDO LA SALUD,A,2,1,9173761492,3,1,1
9432,PROLONGA TU VIDA,A,1,1,3477928314,1,1,1
9433,NEW ASTORIA PARK PIZZERIA & RESTAURANT,C,6,4,7187219722,24,11,2
9434,BLIMPIE,A,3,2,2128653051,7,5,2
9437,CROWN FRIED CHICKEN,C,1,5,7184641418,2,21,4
9438,PEACHES,B,2,1,7189424162,7,2,2
9439,D'AQUILA BAKERY,B,1,3,7188864800,3,5,1
9440,PARTY ZONE,A,1,2,7184618292,1,4,2
9441,LA BARCA RESTAURANT,B,6,2,2129281090,15,8,4
9443,PUNTO DE SABOR,P,5,4,2129282298,17,15,3
9444,BAYARD'S ALEHOUSE,C,3,1,2129890313,5,3,3
9445,CHARTWELLS @ MANHATTAN SCHOOL OF MUSIC,C,0,1,9174934442,0,1,1
9446,5TH AVENUE BAGELTIQUE CAFE,B,1,1,7187833232,1,3,3
9448,MOLCAJETE,B,3,4,7188991200,7,19,4
9449,RAFINA GREEK CUISINE,P,1,2,2125322234,3,6,3
9450,AFRICANA RESTAURANT,B,3,2,7186588501,11,5,2
9451,TACO BELL/PIZZA HUT,A,1,1,7182628151,1,3,3
9452,KOSHER WHIZ,A,1,1,3476233657,2,2,2
9453,RENAISSANCE RESTAURANT BAR AND GARDEN DINER,B,1,5,2123469873,3,15,3
9454,MISSION CHINESE FOOD,P,3,6,2125298800,7,23,3
9455,SUBWAY,A,2,1,7185281984,6,2,2
9456,GEORGIOS COUNTRY GRILL,B,1,4,2129771150,2,16,4
9457,ROWE'S RESTAURANT,C,3,3,7186383127,6,9,3
9458,BAKERITE,A,0,0,7184874302,0,0,0
9459,JACOB SOUL FOOD RESTAURANT,P,4,3,2128663663,13,7,2
9460,RESTAURANT SAN MIGUEL,A,3,1,7184427780,12,3,3
9461,STARBUCKS COFFEE,B,2,1,6463366583,4,1,1
9462,MISS MAUDE'S SPOONBREAD TOO,P,1,2,2126903100,2,7,3
9463,LA CARIDAD 78,C,2,4,2128742780,5,12,3
9464,JR & SON,A,1,1,9174993248,3,3,3
9465,BARFLY,C,1,3,2124739660,1,9,3
9466,WEST 8 HAPPY WOK,A,0,2,7184498279,0,4,2
9468,CHICKPEA,B,2,4,2125665666,5,12,3
9469,TIPPIN INN,A,3,1,7187287289,9,1,1
9470,TACO BELL,A,1,1,7184789530,1,3,3
9471,UNCLE LOUIE G,A,1,1,6314330885,3,1,1
9472,SUN HING RESTAURANT,A,1,1,7187560699,3,2,2
9473,PIO HOT BAGELS,A,1,1,7186056100,3,3,3
9474,GOLDEN PALACE,A,2,1,3478980796,4,4,4
9475,ARTURO'S,A,4,4,2126773820,11,12,3
9476,IGUANAS,A,0,1,7189695447,0,3,3
9477,FRESCO DELI CORP,A,1,1,7184827400,1,2,2
9479,ALI'S ROTI SHOP,C,8,3,7186552178,23,7,2
9480,A VOCE,C,1,4,2128232523,2,14,3
9481,GLOW THAI RESTAURANT,C,1,3,7187481920,3,9,3
9482,JERUSALEM CAFE,C,4,5,2123981475,11,21,4
9483,VENICE RESTAURANT,B,1,1,7185855164,1,2,2
9484,MORGAN'S BBQ,A,0,2,7186222224,0,5,2
9485,FORTUNE COOKIES,A,0,1,7183897103,0,1,1
9486,RYEHOUSE,B,4,2,2122557260,9,5,2
9487,LITTLE CAESARS,B,1,1,7182177271,1,1,1
9488,"ALFANOOSE NYC, INC.",A,0,1,2125772086,0,3,3
9490,CEA-LO CAFE,A,0,0,6468610777,0,0,0
9491,CROWN,A,1,3,6465394880,2,7,2
9492,SUNSET DELI & GRILL,A,3,1,7184921566,9,2,2
9493,GEORGES RESTAURANT,C,4,5,7184391403,12,16,3
9494,SHAHI BIRYANI & GRILL,C,1,4,6463793134,2,11,2
9495,SUBWAY,A,0,1,2126959194,0,4,4
9496,99 CENT FRESH PIZZA,A,0,1,2129220257,0,1,1
9497,SHUN LEE,B,4,3,2125958895,15,10,3
9499,HAPPY WORLD CHINESE RESTAURANT,A,0,1,7188981711,0,1,1
9500,CREATIVE JUICE,A,0,1,6467478601,0,2,2
9501,PARADISE CAFE AND BILLIARDS,A,0,2,7187070147,0,6,3
9502,GUSTOSA PIZZA,B,4,3,7184468879,10,7,2
9503,CAFFEBENE,A,0,3,2125755484,0,4,1
9504,DUNKIN' DONUTS,B,4,1,7185294960,14,1,1
9505,JUSTINO'S PIZZERIA,P,4,4,2125821222,13,11,2
9506,BETH TORAH KOSHER CATERERS,P,2,1,7182614775,10,1,1
9507,AMERICAN LANGUAGE COMMUNICATION CENTER CAFETERIA,C,3,2,2127362373,8,5,2
9508,Sarai Cafe,A,0,1,7184322829,0,1,1
9509,LIN'S CHINESE RESTAURANT,C,1,5,2124608445,3,18,3
9510,NEARY'S PUB,B,4,3,2127511434,16,10,3
9511,NEW GOLDEN STAR RESTAURANT,A,0,1,7184987534,0,2,2
9512,QUE SABOR BAKERY CAFE,B,3,8,7183963138,7,15,1
9513,SERVICE BAR 4 & 5,A,2,1,7182153308,3,1,1
9514,O'DONOGHUES,A,3,1,2123485500,6,3,3
9515,HOT DOG CONCESSION,A,1,1,2124656000,4,5,5
9516,RED HOUSE RESTAURANT,C,2,4,2122288288,6,16,4
9517,18 BAKERY,B,3,2,7182595399,11,7,3
9518,SUN'S ORGANIC GARDEN,A,1,1,2125663260,2,1,1
9519,ASIAN TASTE,A,0,2,7188968881,0,10,5
9520,MEXICO LINDO Y ! Q RICO! DELI,B,1,1,7189413267,2,1,1
9521,MARIA & TONY'S RESTAURANT,P,3,5,7189654800,11,19,3
9522,TAQUERIA COATZINGO,B,4,4,7184241977,9,25,6
9523,DELMAR PIZZERIA,A,2,1,7187697766,6,2,2
9524,CARVEL ICE CREAM,B,2,4,7183869300,10,12,3
9525,TIAA-CREF CAFETERIA,B,4,4,9175997414,10,13,3
9526,SIZZLE SHAWARMA & FALAFEL BAR,A,0,0,6462466604,0,0,0
9528,IHOP,B,2,4,7183256664,6,12,3
9529,BOSTON MARKET,A,0,4,7189804300,0,16,4
9530,DOUBLE HAPPY RESTAURANT,C,3,4,7189961885,11,20,5
9531,IVY STAR BAR & RESTAURANT,B,0,3,9175027944,0,11,3
9532,FREDERIC FEKKAI NEW YORK,C,4,3,2127539500,11,8,2
9533,RIVERDALE YACHT CLUB,B,2,1,7185430792,5,4,4
9534,BROOKLYN TAP HOUSE,B,4,1,3477507557,11,1,1
9535,MYUNG SAN RESTAURANT,P,4,4,7188881245,19,17,4
9536,FRESH TAKE JUICE BAR.,A,0,1,6465888620,0,4,4
9537,KENNEDY'S CHICKEN AND PIZZA,B,4,2,7184051000,16,5,2
9538,MEZZE PLACE,A,0,1,7187772829,0,2,2
9539,NEW GOLDEN STAR RESTAURANT,C,0,4,2129285454,0,13,3
9541,"LA PIAZZA PIZZERIA OF BROOKLYN, LLC",A,0,2,7185130888,0,5,2
9542,THE FAT RADISH,B,4,3,2123004053,8,7,2
9543,SUPERNOVA-NOVOTEL HOTEL,B,1,2,2123150100,1,7,3
9544,55 THOMAS CAFE,B,4,3,2128867347,13,8,2
9545,MCDONALD'S,A,1,1,7184720374,2,3,3
9546,SPEEDY'S PLACE RESTAURANT,B,3,2,7184921660,12,10,5
9548,PHO VIET,A,1,1,7186333358,1,3,3
9549,REDD'S,C,1,6,7182189429,2,16,2
9551,FUJI JAPANESE CUISINE,C,4,5,7182633636,22,25,5
9552,NEW SOUL CAFE,P,1,4,7184095501,2,5,1
9553,LOWLANDS BAR,A,1,1,3474639458,2,3,3
9555,CANTINA,A,0,0,9175736459,0,0,0
9556,BURKE'S PUB,C,5,6,7184298728,17,18,3
9557,TINKS BAKE HOUSE,A,1,4,6468337855,1,16,4
9558,KABIN BAR & LOUNGE,P,4,4,2122540204,14,17,4
9559,THE ATTIC BAR & LOUNGE,P,6,3,7182792337,22,12,4
9560,MCMAHON'S IRISH PUB,B,3,4,7183779535,10,9,2
9561,BEER BELLY'S,A,0,1,7186312337,0,2,2
9562,GOOD WORLD,P,6,4,7188331888,17,10,2
9563,FLAGSHIP DINER,C,3,4,7185236020,13,11,2
9564,MIKE DADDY'S PIZZA,A,0,1,7187689700,0,3,3
9566,SAPOLO CHINESE & SPANISH RESTAURANT,P,2,6,7187897788,4,18,3
9568,NINA'S RESTAURANT PIZZERIA,P,1,4,7183898854,3,15,3
9569,MCDONALD'S,A,1,1,2129470771,1,2,2
9570,KITTICHAI,B,3,3,2122192000,8,9,3
9571,MEADOWS SNACKS,A,1,1,3476085665,1,3,3
9572,Enthaice Thai Kitchen,A,0,3,7189321111,0,4,1
9573,VINATERIA,A,0,2,2126628462,0,3,1
9574,LA CASA SALUDABLE,A,0,1,3472933275,0,3,3
9575,THE FULL SHILLING,B,2,1,2124223855,5,1,1
9576,AMADEUS,C,4,2,7188972400,16,10,5
9577,MAHARAJA PALACE,P,0,3,2122228934,0,15,5
9578,VIA EMILIA,B,2,2,2125053072,4,6,3
9579,CHIPOTLE MEXICAN GRILL,A,0,2,6464126237,0,5,2
9580,RYE,A,3,1,7182188047,10,4,4
9581,FAMILY KITCHEN,P,0,3,7187393377,0,6,2
9582,SIGGY'S NYC,B,3,1,2122265775,6,4,4
9583,EVERYTHING GOES BOOK CAFE,A,1,1,7184478256,1,1,1
9584,BARRAGE,C,3,2,2125869390,6,6,3
9585,DAMAS FALAFEL HOUSE,A,1,1,7188526677,2,2,2
9586,AVENUE CAFE,B,2,1,7183846956,8,2,2
9587,JOE ALLEN RESTAURANT,A,3,1,2125816464,7,3,3
9588,TO BE THAI,B,2,4,7184350459,8,11,2
9589,CARVEL ICE CREAM,A,2,1,7187467575,3,2,2
9592,ATERES AVROHOM,B,3,3,7183023700,16,15,5
9593,AJ'S HOMEMADE GOURMET ITALIAN ICE & ICE CREAM,B,0,2,7188360902,0,5,2
9594,GENNARO'S REST & PIZZERIA,B,4,4,7189792382,17,13,3
9595,GOLDEN TASTE FAMOUS CARIBBEAN RESTAURANT,A,0,1,7189425612,0,3,3
9596,EMPLOYEE CAFETARIA/HOTEL RESTAURANT,A,1,1,2127657676,2,2,2
9597,THE RABBIT HOLE,P,2,1,7187820910,7,3,3
9599,AMC EMPIRE 25 THEATRES,A,0,1,2128762111,0,1,1
9600,RIDLEY'S SEAFOOD SPOT,A,1,4,3472704247,3,17,4
9601,SALTIE,A,1,4,7183874777,3,10,2
9602,CASCADE CAFE,B,1,2,2129699901,2,4,2
9603,CIRCLE OF FUN,B,2,2,9178591829,6,6,3
9604,JIMMY'S HOUSE CHINESE CUISINE,B,3,3,2127257888,9,10,3
9605,SALVA VIDA,B,3,1,7187898432,11,3,3
9606,ONE FAMILY CHINESE RESTAURANT,C,1,1,2123048883,3,2,2
9607,TENZAN CUISINE,P,4,5,2125807300,19,17,3
9608,CHIQUI CAFE,A,4,1,7183478100,8,3,3
9609,KURO KUMA ESPRESSO & COFFEE,A,2,2,3475773177,3,5,2
9610,JIN FENG,A,2,1,2129666626,6,3,3
9611,PARKSIDE LOUNGE,C,1,3,2126736270,4,12,4
9612,BETEL PARTY SUPPLY BAKERY,A,3,1,2129428200,7,1,1
9613,DUNKIN' DONUTS,A,1,1,7184511213,1,1,1
9614,Patea,A,0,3,2122266808,0,4,1
9615,BAGEL NOSH NYC,A,0,2,7187770997,0,5,2
9616,BRICCO RESTAURANT,B,3,3,2122457160,10,13,4
9617,TWO BOOTS PIZZERIA,B,1,3,2122802668,2,8,2
9618,ANTONIO'S PIZZERIA,C,6,4,7182371700,15,15,3
9619,MANHATTAN GOURMET DELI,B,4,2,2122464410,6,5,2
9620,IKEA,A,1,1,7182460921,2,2,2
9621,STARBUCKS COFFEE #7344,A,1,1,2123070162,1,2,2
9622,LA BARAKA RESTAURANT,A,2,2,7184281461,5,10,5
9623,PUNTA CANA COFFEE SHOP RESTAURANT,C,5,4,7187893300,18,14,3
9624,RED LOBSTER,C,4,1,7189642057,6,3,3
9625,NOORMAN'S KIL,A,2,4,3473842526,4,23,5
9626,LA PICARDIA POBLANA BAR,P,4,3,3474005259,15,12,4
9627,"DUNKIN' DONUTS, BASKIN ROBBINS",A,1,4,7183356473,2,13,3
9628,876 MARKET DELI,P,3,4,2122132431,9,7,1
9629,BAR BRUNO,A,2,6,3477630850,6,12,2
9630,CLOUD 9,A,2,3,7189696969,5,3,1
9631,BAY RIDGE MANOR CATERING,B,1,2,7187488855,2,4,2
9632,MONA'S BAKERY & CAFE,A,1,5,9173852957,2,17,3
9633,NEW NAGOYA SUSHI,A,0,2,7184328886,0,6,3
9634,CRUMBS EAST,A,1,1,2127949800,1,2,2
9635,CITY CAKES,A,2,3,6466882286,6,6,2
9636,NEALTICAN DELI ANTOJITOS MEXICANOS,B,1,3,7184174305,1,8,2
9637,COFFEE SHOP DELI,A,1,4,3475295285,1,10,2
9638,KAPETERIA,A,1,2,2124925971,2,6,3
9639,Happy life fast food,A,0,3,7187780087,0,7,2
9640,TOAST CHICKEN,A,0,0,6464787555,0,0,0
9641,CHEZ LOLA,C,3,2,7188581484,9,5,2
9642,LA DULCE VIDA,B,4,3,7182713033,11,9,3
9643,THE RED CAT,A,4,1,2122421122,12,2,2
9644,ENJOY MY BAGELS,B,4,1,7188322435,12,2,2
9645,TOSHI'S LIVING ROOM,C,2,4,2128398000,7,16,4
9646,BROOKLYN BUSCHENSCHANK,C,2,5,7182370325,11,19,3
9647,SUSHI SAMBA #7,C,4,5,2126917885,18,16,3
9648,THE BACK ROOM,A,1,3,2122285098,3,5,1
9649,FU WING KITCHEN,B,2,2,2129875329,7,5,2
9650,COTTA BENE,B,4,4,7187227200,20,18,4
9651,NUEVO MEXICO MEXICAN RESTAURANT,C,3,5,7188320050,12,18,3
9652,NUM PANG,B,1,4,2122553271,1,10,2
9653,DAVIDsTEA,A,0,3,3472234637,0,6,2
9654,MCDONALD'S,A,1,2,7184231577,2,3,1
9655,EUROPA CAFE,C,4,1,2127556622,10,1,1
9656,DOUBLE WINDSOR,B,4,2,3477253479,11,3,1
9657,SPICE,A,1,3,2123625861,2,8,2
9658,GENKI SUSHI HOUSE,B,0,3,7182138276,0,9,3
9659,CEO KTV & CAFE,B,6,1,7183532588,16,2,2
9661,THAI SELECT,C,5,3,2126959920,18,10,3
9662,PIZZARAMA,B,4,3,7186317405,8,7,2
9663,TOBY'S PUBLIC HOUSE,B,1,3,7187881186,2,9,3
9664,LEE'S RESTAURANT,A,0,0,7183678383,0,0,0
9665,BISTRO VENDOME,B,3,2,2129359100,6,3,1
9666,AWASH ETHIOPIAN RESTAURANT,A,3,1,2129829589,7,2,2
9667,CAFE JOUL,B,2,2,2127593131,7,7,3
9668,KENNEDY FRIED CHICKEN & PIZZA,B,1,1,3472211778,2,2,2
9669,ONE LUCKY DUCK,A,1,4,2122554300,2,15,3
9670,169 BAR,C,3,3,9175772077,7,18,6
9671,STARBUCKS COFFEE,P,2,4,7184255680,3,6,1
9672,FULA LOUNGE,A,0,1,9177094384,0,2,2
9674,NEW NO. 1 CHINA WOK,A,1,5,7189338765,1,18,3
9675,JIMBO'S BAR & RESTAURAUNT,A,0,4,7182042087,0,4,1
9676,FRESCO TORTILLAS,A,0,0,7184321772,0,0,0
9677,farafina cafe and lounge,A,0,2,2122812445,0,5,2
9678,CARVEL ICE CREAM,A,2,1,7184610512,7,2,2
9679,VICE VERSA,A,1,1,2123999291,2,3,3
9680,KEENS STEAKHOUSE,B,1,1,2129473636,4,3,3
9681,LE PAIN QUOTIDIEN,A,1,1,2122552777,1,1,1
9683,SAMURAI MAMA,C,2,1,7185996161,6,3,3
9684,TROPICAL GRILL RESTAURANT,A,0,5,2123160316,0,18,3
9685,JADE GARDEN,B,0,3,7188766878,0,11,3
9686,STUMPTOWN COFFEE ROASTERS,A,0,2,6465902376,0,3,1
9687,"PIZZA HUT, KENTUCKY FRIED CHICKEN",A,1,4,7186288700,3,14,3
9689,BAGEL TREE,B,0,3,6465598912,0,10,3
9690,CONNIE O'S,A,1,1,9175787959,1,2,2
9691,STARBUCKS COFFEE,A,1,1,7182347160,2,1,1
9694,JADE ASIAN RESTAURANT,P,4,5,7187628821,20,25,5
9695,CUCINA & CO,A,1,1,2128682388,3,2,2
9696,QUEEN OF TACOS,C,3,1,7186521253,8,2,2
9697,SAPPORO RESTAURANT,B,3,2,2128698972,8,4,2
9698,GIO'S PIZZA & RESTAURANT,P,4,2,7189931952,13,12,6
9699,GA HWA RESTAURANT,B,1,4,7188863223,3,13,3
9700,KFC,B,1,2,7184472822,2,7,3
9701,RAVEL ROOFTOP,B,0,4,7182896101,0,9,2
9702,SUBWAY,A,2,1,2127194044,6,2,2
9703,GOLDEN DRAGON CHINESE & THAI CUISINE,B,3,2,7187481818,12,6,3
9704,SUD WINE BAR,A,1,1,9179719861,3,1,1
9705,DUNKIN DONUTS BASKIN ROBBINS,A,1,1,7183886845,1,3,3
9706,BELL BOOK & CANDLE,C,5,3,2124142355,11,15,5
9707,CANALETTO RISTORANTE,C,0,4,2123179192,0,17,4
9708,NEW YA MEI CHINESE RESTAURANT,P,4,5,7188843999,23,22,4
9709,SAM'S BAGEL,B,4,3,7186805700,17,4,1
9710,HOTEL 414,B,1,1,2123990006,1,2,2
9711,CAFE VIVA,C,1,3,2126638482,4,12,4
9712,BRICK CAFE,P,4,1,7182672735,11,3,3
9713,GEORGE'S PIZZA,P,5,2,3473365251,22,11,5
9714,O'HARA'S,B,1,3,2122673032,3,10,3
9715,DUNKIN DONUTS & BASKIN ROBBINS,B,3,1,2125440453,8,2,2
9716,CORRADO BREAD AND PASTRY,B,4,3,2122882300,12,7,2
9717,STARBUCKS COFFEE,A,0,0,2123043632,0,0,0
9718,CINNABON WORLD FAMOUS CINNAMON ROLLS,A,2,1,7185927172,4,2,2
9719,Nomura Cafe,A,0,1,2124368060,0,1,1
9720,RAG TOP,C,3,3,7184512653,10,7,2
9721,MORRIS YACHT CLUB,P,2,4,7188851596,10,20,5
9722,MI NIDITO,A,0,1,2122650022,0,2,2
9723,COFFEE SHOP,B,1,3,2128681401,2,9,3
9724,COUNTRY THYME CUISINE,C,1,5,3479204276,5,15,3
9725,THE GREAT BURRITO MEXICAN KITCHEN,B,4,2,2127245151,21,5,2
9726,BURGER IT UP,A,2,3,7182083601,5,6,2
9727,THE SECOND CHANCE SALOON,P,2,2,7183875515,4,13,6
9728,RIO COBRE RESTAURANT,B,2,3,3473464955,6,9,3
9729,THE GENERAL GREENE / FORT GRACE,C,5,4,7182221510,14,17,4
9730,BIG NEW YORK FRIED CHICKEN,A,4,1,7182977499,13,3,3
9731,MARKIE B'S JAMAICAN CUISINE,P,3,3,7184762754,4,7,2
9732,ZE TO GO,P,3,1,2127531043,6,1,1
9733,MIKES PIZZA,B,2,4,7187933464,5,15,3
9734,GRAND SICHUAN EASTERN,P,5,3,2123555855,38,13,4
9735,PULPERIA,B,0,2,2129563055,0,5,2
9736,MAFATIHOUL BICHRI RESTAURANT,P,0,3,2125314444,0,11,3
9737,LANGE NOIR CAFE,A,2,1,7187101188,5,2,2
9738,POMPEII LOUNGE & BAR,B,5,2,7188920622,14,4,2
9739,Shochu and Tapas Aya,A,0,0,2127150770,0,0,0
9740,MOHEGAN SUN SPORTS BAR,A,1,1,9172843260,3,1,1
9741,LCLE BAR,A,0,2,3475513773,0,6,3
9742,BLUE MOUNTAIN CUISINE RESTAURANT,A,1,1,7186548862,2,1,1
9744,FUSHA,B,0,4,2128779300,0,14,3
9745,SAM'S RESTAURANT,B,4,2,7185963458,11,9,4
9746,ZARO'S BAKERY,B,4,3,2122920174,12,10,3
9747,CARLOS PIZZERIA,A,4,3,7183868526,12,9,3
9748,BANK OF TOKYO,A,1,1,2127824787,1,2,2
9749,SAVOR CAFE,B,4,1,7183381353,10,2,2
9750,NY TRIPLE STARS MANAGEMENT INC.,A,0,2,7185880550,0,14,7
9751,C & L  DUMPLING HOUSE,B,1,4,2122198850,2,13,3
9752,SAL'S DELI,B,1,1,7186619498,1,2,2
9753,GAN DA SUSHI,A,1,3,7183801818,2,8,2
9754,PIER 25 SNACK BAR,A,2,0,9173024616,4,0,0
9755,PA-PAYA SEED LLC,A,0,1,3476256306,0,3,3
9756,STAGE 48/Z-BAR,A,0,4,2129571800,0,6,1
9757,KYOTO SUSHI,B,1,3,7183838882,3,9,3
9758,HUNAN MANOR RESTAURANT,C,4,4,2126822883,23,22,5
9760,TWIN DONUTS,C,2,1,2128620200,9,3,3
9761,DUNKIN' DONUTS,B,1,4,7188433100,1,11,2
9762,MANGU,C,4,4,7183219982,11,10,2
9763,LB SPUMONI GARDENS,C,5,5,7184491230,20,25,5
9764,PUDGE KNUCKLES,A,0,4,3474575475,0,12,3
9765,NOVELTY INDIAN SWEETS & RESTAURANT,C,2,1,7184415484,2,1,1
9766,MEMO SHISH KEBAB,B,1,4,7183398001,2,16,4
9767,LOS BUCAROS,B,1,3,7182061499,4,12,4
9768,DUNKIN' DONUTS,A,2,3,7184827282,6,10,3
9769,SIR HARRY'S,B,3,2,2128724890,13,9,4
9770,BROADWAY AU LAIT,A,1,1,2128658429,1,2,2
9771,RUSTY'S FLAVOR,B,1,4,2123683403,2,13,3
9772,THE SICILIAN,C,0,4,7187881050,0,8,2
9773,Y J FRIED FISH,C,4,3,7185261202,15,13,4
9774,SALZA PIZZA,A,0,2,7186061919,0,5,2
9775,COZY ROYALE CATERING,A,1,1,3476832013,4,4,4
9776,DUN-WELL DOUGHNUTS,A,1,1,6073821826,3,2,2
9777,EL PEQUENO COFFEE SHOP,P,4,4,7182057128,15,12,3
9778,LAS DELICIAS,C,0,4,7187760673,0,23,5
9779,NEW LIVING BREAD,B,5,1,7184171422,17,2,2
9780,APARTMENT 13,A,0,3,9174751213,0,11,3
9781,SUBWAY SANDWICH,A,1,1,6467357282,3,3,3
9782,COACH SCOT'S MAIN STREET SWEETS,A,0,1,2128133388,0,3,3
9783,SERAFINA GRILL,B,0,4,2127020118,0,20,5
9784,WHITMAN AND BLOOM,B,4,2,2127254477,10,11,5
9785,EL VALLE,C,2,3,3474981171,13,8,2
9786,RINCON ECUATORIANO,C,3,3,7185858389,13,9,3
9787,TRUFA RESTAURANT,C,1,4,2122816165,2,14,3
9788,HUNAN GARDEN,B,4,2,7186360583,16,5,2
9789,KABIR'S BAKERY,B,0,2,7188592348,0,8,4
9790,LASH WEST INDIAN AND AMERICAN CUISINE,P,2,1,7188820815,3,1,1
9791,NEW TIME KITCHEN,C,0,3,7185560808,0,10,3
9792,ARBY'S,A,1,1,7188940485,1,3,3
9793,ALBA PIZZA,B,2,3,7182911620,5,10,3
9794,LAS NUEVAS DELICIAS DE ACAPULCO.,A,0,4,7182967559,0,14,3
9795,COMMUNITY FOOD AND JUICE,B,5,4,2126652800,19,13,3
9796,HONG KONG STATION,A,2,3,2129669682,8,8,2
9797,NEW LI HING RESTAURANT,P,6,1,7184998235,18,2,2
9798,Daryl Roth Theatre,A,0,1,2123751110,0,2,2
9799,3 DELI & GRILL,A,4,1,2124863272,12,3,3
9800,NEW MEXICO PLACE,C,1,3,7183024573,1,6,2
9801,LURA,B,2,5,2128667500,7,9,1
9802,LOS MISMO RESTAURANT,C,4,5,7183358704,18,30,6
9803,CULLEN'S TAVERN,P,1,3,3479204009,4,8,2
9804,ANIL'S ROTI SHOP,B,4,1,7188452800,15,2,2
9805,DOMINOS PIZZA # 3448,A,0,1,7187763030,0,3,3
9806,SHALL WE EAT,P,5,5,7187458866,19,18,3
9807,MABAT,C,5,2,7183393300,18,3,1
9808,THE KATI ROLL COMPANY,P,4,1,2127304280,19,2,2
9809,SING HUANG RESTAURANT,A,0,0,2122740690,0,0,0
9810,PRIVATE EYES,A,1,1,2125824001,3,4,4
9811,ARMANDO'S POLLO RICO RESTAURANT,P,3,3,7184418441,8,12,4
9812,MASALA KING,P,0,1,7183471700,0,8,8
9813,FRESH TACO,B,3,2,7188216563,13,5,2
9814,CAFE BENCH,A,1,1,7182240703,1,1,1
9815,SAPPORO JAPANESE CUISINE,B,2,1,7187483322,4,2,2
9816,DRINK TEA,C,5,1,3475740336,14,1,1
9818,ISLAND COFFEE SHOP,B,1,3,7187205606,3,8,2
9819,BELLA GIORNATA,A,2,1,7187200400,4,2,2
9820,KANG KEE CHINESE RESTAURANT,P,4,4,2129662876,20,13,3
9821,CEASAR/CLUB BAR #3,B,1,1,7185958100,1,1,1
9822,TASTY ROAST HOUSE,C,7,3,7188863118,37,7,2
9823,BAO DING,C,1,5,7188880038,2,9,1
9824,THE BOILER ROOM,C,5,4,2122547536,16,14,3
9825,POTBELLY SANDWICH SHOP,A,3,1,6462894202,5,1,1
9826,CITY ECLAIR,A,0,2,9173857849,0,3,1
9827,HILLEL BAGELS,A,1,1,7182190048,2,2,2
9828,FOXY'S DINER,B,0,4,7184827640,0,16,4
9829,CAFE TREND,P,3,1,2122860388,9,2,2
9831,TORCH CLUB,A,1,1,2129929155,4,3,3
9832,CHINA SUN,C,8,4,7186472322,26,11,2
9833,TENELEVEN,B,1,2,2123531011,2,11,5
9834,POPEYES CHICKEN & BISCUITS,B,1,1,7185134911,1,2,2
9835,Subway,A,0,2,7183450381,0,2,1
9836,GREEN CAFE,A,1,4,2122899100,1,10,2
9837,BROOKLYN LAW SCHOOL,B,2,3,7187807525,6,6,2
9838,CAFE 58,P,3,1,7184924300,12,2,2
9839,CHUN BURO RESTAURANT,A,1,4,7186610033,5,12,3
9840,SUBWAY,A,1,4,7186261346,2,9,2
9841,GOLDEN WAY CHINESE RESTAURANT,P,6,3,7188458899,28,12,4
9843,GREAT TAYSTEE GARDENS CHINESE FOOD,A,1,3,7188492288,3,11,3
9844,DELI & GROCERY,B,0,2,2123665364,0,8,4
9845,HUNTS POINT MARKET COFFEE SHOP,A,1,1,3472713633,2,2,2
9846,BUENOS AIRES,A,1,1,2122282775,3,3,3
9847,TONG XIN HOT POT,A,0,3,9173783038,0,11,3
9848,LA COCINA II RESTAURANT,P,4,5,7183870330,11,13,2
9849,CHINESE FRIED CHICKEN,A,3,1,7185887780,10,2,2
9850,RAYMI,C,2,5,2129291200,7,19,3
9851,STAN'S SPORTS BAR,B,2,2,7189935548,10,10,5
9852,DITCH PLAINS,B,4,1,2126330202,13,2,2
