,biz,grade,inspections_in_2012,inspections_in_2013,phone_num,violations_in_2012,violations_in_2013,violations_per_inspection
1643,RED LOBSTER,B,2,1,7187603050,8,2,2
1644,KENNEDY FRIED CHICKEN,C,5,0,2125347320,14,0,0
1645,ORIENTAL CHINESE KITCHEN,B,4,3,7188918563,15,11,3
1646,PAPA JOHN'S,B,2,4,7182957272,7,12,3
1647,CAGEN,A,0,2,2123588800,0,8,4
1648,HOUSTON HALL,A,0,2,2126759323,0,6,3
1649,FIESTA GRILL,C,3,1,7182054010,12,2,2
1650,DAVID'S BAKERY,A,1,1,7184340050,1,1,1
1651,US KENNEDY FRIED CHICKEN AND PIZZA,A,0,0,7184508486,0,0,0
1652,BOCCA LUPO,A,3,1,7182432522,7,1,1
1653,POPEYE'S FRIED CHICKEN,A,0,2,7182384100,0,6,3
1654,WOODLAND,B,4,1,7183987700,10,2,2
1655,MEXICUE,P,4,4,2122440002,11,14,3
1656,PAULS BAKERY,A,4,1,7183245608,13,2,2
1657,BEAUTY FOR LIFE,A,0,1,9172941817,0,2,2
1658,FORDHAM SEAFOOD AND CHICKEN,A,2,1,7189339854,6,1,1
1659,RED ROOSTER HARLEM,C,0,1,2127929001,0,2,2
1660,MARIOS PIZZERIA & CAFFE,A,0,3,7182056860,0,7,2
1661,BLUE RIBBON BRASSERIE,C,3,2,7188400404,10,6,3
1663,STEVE'S COFFEE SHOP,B,1,1,7184456691,2,3,3
1664,BEANOCCHIOS CAFE,B,3,3,2128618060,10,5,1
1666,SYBIL'S BAKERY,B,1,3,7188359235,2,12,4
1667,SOTHEBY'S CAFE,A,1,1,2127272820,2,2,2
1668,KAM SHING CHINESE RESTAURANT,P,6,5,7184215252,18,15,3
1669,UNCLE LOUIE G'S ITALIAN ICES & ICE CREAM,B,1,1,7183661730,5,3,3
1670,LITTLE CAESARS,A,2,1,3477024226,4,2,2
1671,VEGETARIAN PALATE,A,0,2,7186232351,0,3,1
1672,LILI'S ASIAN CUISINE,C,4,3,2126391313,22,15,5
1673,PETE'S RESTAURANT & PIZZERIA,A,3,2,7184289351,6,4,2
1675,JUSTINE RESTAURANT,B,3,1,7185382100,11,3,3
1676,cafe paulette,A,0,3,7186942044,0,7,2
1677,cafe hestia,B,0,2,2127648844,0,10,5
1678,POD CAFE,A,3,1,2123550300,6,3,3
1679,CARIDAD RESTAURANT,C,1,2,7183646545,2,6,3
1680,COLD STONE CREAMERY,A,1,5,7188436977,1,14,2
1681,MADISON CLUB (BB7184),A,1,1,2124656000,1,1,1
1682,UNCLE LOUIE,A,2,2,9174404298,5,2,1
1683,JNS PIZZA,P,1,5,2124260415,3,16,3
1684,COUNTRY TASTE CUISINE,C,5,1,7185288055,20,6,6
